Line,Year,Date,W_L,Team,Gm,RYTD,RAYTD,RankR,GBR,D_1_N_0,Home,RealStreakN,RealStreakW,Teamb,Gmb,RYTDb,RAYTDb,RankRb,GBRb,RealStreakNb,RealStreakWb
-180,2022,"Sunday, Jun 18",W,Mets,67,337,267,1,5.5,1,1,2,1,Marlins,67,280,264,4,-13,2,-1
-140,2022,"Monday, Jun 19",L,Mets,68,340,269,1,6.5,1,1,3,1,Marlins,68,282,267,4,-14,3,-1
-175,2022,"Tuesday, Jun 20",W,Mets,69,342,275,1,5.5,1,1,1,-1,Marlins,69,288,269,4,-13,1,1
130,2022,"Saturday, Jun 24",W,Mets,72,353,288,1,4.5,0,0,2,-1,Marlins,72,307,289,4,-11.5,3,1
-145,2022,"Sunday, Jun 25",W,Mets,73,358,291,1,5,1,0,1,1,Marlins,73,310,294,4,-12.5,1,-1
-155,2022,"Monday, Jun 26",L,Mets,74,363,294,1,5,1,0,2,-1,Marlins,74,313,299,4,-13.5,2,-1
-175,2022,"Friday, Jul 7",W,Mets,83,392,327,1,2.5,0,1,1,1,Marlins,83,348,336,4,-11,1,-1
-165,2022,"Saturday, Jul 8",L,Mets,84,402,327,1,3.5,0,1,2,-1,Marlins,84,348,346,4,-12,2,-1
-175,2022,"Sunday, Jul 9",W,Mets,85,404,332,1,2.5,1,1,1,-1,Marlins,85,353,348,4,-11,1,1
-115,2022,"Monday, Jul 10",L,Mets,86,409,336,1,2.5,1,1,1,1,Marlins,86,357,353,4,-12,1,-1
122,2022,"Tuesday, Jul 11",W,Mets,87,409,338,1,1.5,0,0,1,-1,Braves,87,416,344,2,-1.5,3,1
180,2022,"Wednesday, Jul 12",L,Mets,88,413,339,1,2.5,0,0,1,1,Braves,88,417,348,2,-2.5,1,-1
130,2022,"Thursday, Jul 13",W,Mets,89,414,343,1,1.5,1,0,1,-1,Braves,89,421,349,2,-1.5,1,-1
-120,2022,"Saturday, Jul 29",W,Mets,99,456,369,1,3,0,0,3,1,Marlins,99,399,421,4,-14.5,1,1
-200,2022,"Sunday, Jul 30",W,Mets,100,462,373,1,3,0,0,4,1,Marlins,100,403,427,4,-15.5,1,-1
-135,2022,"Monday, Jul 31",W,Mets,101,466,373,1,3,1,0,5,1,Marlins,101,403,431,4,-16.5,2,-1
-260,2022,"Tuesday, Aug 1",W,Mets,102,475,376,1,3,0,0,6,1,Nationals,102,393,561,5,-30,1,-1
-360,2022,"Wednesday, Aug 2",L,Mets,103,482,379,1,3.5,0,0,7,1,Nationals,103,396,568,5,-31,2,-1
-300,2022,"Thursday, Aug 3",W,Mets,104,483,384,1,2.5,1,0,1,-1,Nationals,104,401,569,5,-30,1,1
-120,2022,"Friday, Aug 4",W,Mets,105,492,389,1,3.5,0,1,1,1,Braves,105,500,410,2,-3.5,1,-1
-130,2022,"Saturday, Aug 5",L,Mets,106,498,393,1,4.5,0,1,2,1,Braves,106,504,416,2,-4.5,2,-1
-132,2022,"Saturday, Aug 6 (1)",W,Mets,107,504,402,1,3.5,1,1,1,-1,Braves,107,513,422,2,-3.5,1,-1
-127,2022,"Saturday, Aug 6 (2)",W,Mets,108,512,407,1,5.5,0,1,1,1,Braves,108,518,430,2,-5.5,1,-1
-154,2022,"Monday, Aug 7",W,Mets,109,518,409,1,5.5,1,1,2,1,Braves,109,520,436,2,-5.5,2,-1
-250,2022,"Saturday, Aug 12",L,Mets,113,544,416,1,7,0,1,6,1,Phillies,113,524,451,3,-10.5,1,-1
-240,2022,"Sunday, Aug 13",W,Mets,114,545,418,1,6,0,1,1,-1,Phillies,114,526,452,3,-9.5,1,1
-130,2022,"Monday, Aug 14",W,Mets,115,546,418,1,5.5,1,1,1,-1,Phillies,115,526,453,3,-10.5,1,-1
140,2022,"Tuesday, Aug 15",L,Mets,116,552,418,1,5.5,0,0,2,-1,Braves,116,557,460,2,-5.5,6,1
141,2022,"Wednesday, Aug 16",L,Mets,117,553,431,1,4.5,0,0,1,-1,Braves,117,570,461,2,-4.5,7,1
-160,2022,"Thursday, Aug 17",W,Mets,118,553,436,1,3.5,0,0,2,-1,Braves,118,575,461,2,-3.5,8,1
-127,2022,"Friday, Aug 18",L,Mets,119,562,443,1,4.5,0,0,1,-1,Braves,119,582,470,2,-4.5,1,-1
100,2022,"Saturday, Aug 19",W,Mets,120,564,446,1,3.5,0,0,1,-1,Phillies,120,541,467,3,-10.5,1,-1
130,2022,"Saturday, Aug 20 (1)",W,Mets,121,571,448,1,3.5,1,0,1,-1,Phillies,121,543,474,3,-11,2,-1
-135,2022,"Saturday, Aug 20 (2)",L,Mets,122,579,450,1,3,0,0,2,-1,Phillies,122,545,482,3,-11,3,-1
105,2022,"Monday, Aug 21",W,Mets,123,580,454,1,3,1,0,1,-1,Phillies,123,549,483,3,-11,1,1
-280,2022,"Saturday, Sep 2",W,Mets,133,617,487,1,3,0,1,2,1,Nationals,133,492,706,5,-38.5,2,-1
-400,2022,"Sunday, Sep 3",L,Mets,134,624,490,1,3,0,1,3,-1,Nationals,134,495,713,5,-39.5,1,-1
-310,2022,"Monday, Sep 4",L,Mets,135,625,497,1,2,1,1,1,-1,Nationals,135,502,714,5,-38.5,1,1
-160,2022,"Saturday, Sep 9",L,Mets,139,643,513,1,0.5,0,0,2,1,Marlins,139,482,575,4,-30,1,1
-165,2022,"Sunday, Sep 10",W,Mets,140,646,519,2,-0.5,0,0,1,-1,Marlins,140,488,578,4,-29.5,2,-1
-143,2022,"Monday, Sep 11",W,Mets,141,657,522,1,0.5,1,0,1,1,Marlins,141,491,589,4,-30,1,-1
100,2022,"Tuesday, Sep 19",W,Mets,149,695,548,1,1,0,0,4,1,Brewers,149,664,638,2,-8.5,1,-1
-120,2022,"Wednesday, Sep 20",W,Mets,150,702,550,1,1,0,0,5,1,Brewers,150,666,645,2,-8.5,2,-1
-135,2022,"Thursday, Sep 21",L,Mets,151,709,555,1,1,1,0,6,1,Brewers,151,671,652,2,-7.5,3,-1
-220,2022,"Wednesday, Sep 27",L,Mets,155,735,577,1,1.5,0,1,1,1,Marlins,155,547,647,4,-33.5,1,-1
-180,2022,"Thursday, Sep 28",W,Mets,156,739,583,1,0,0,1,1,-1,Marlins,156,553,651,4,-32.5,1,1
-125,2022,"Saturday, Sep 30",L,Mets,157,744,587,1,1,0,0,1,1,Braves,157,764,585,2,-1,1,-1
-120,2022,"Sunday, Oct 1",L,Mets,158,746,592,1,0,0,0,1,-1,Braves,158,769,587,1,0,1,1
115,2022,"Monday, Oct 2",L,Mets,159,748,596,2,-1,0,0,2,-1,Braves,159,773,589,1,1,2,1
-300,2022,"Tuesday, Oct 4 (1)",W,Mets,160,751,601,2,-2,0,1,3,-1,Nationals,160,599,834,5,-45,2,-1
-270,2022,"Tuesday, Oct 4 (2)",W,Mets,161,755,603,2,-1,0,1,1,1,Nationals,161,601,838,5,-46,3,-1
-150,2022,"Thursday, Oct 5",W,Mets,162,763,603,2,-1,1,1,0,0,Nationals,162,601,846,5,-46,4,-1
106,2022,"Friday, Apr 7",L,Nationals,1,0,0,1,0,0,1,3,1,Mets,1,0,685,1,0,0,0
147,2022,"Saturday, Apr 8",L,Nationals,2,1,5,4,-1,0,1,1,-1,Mets,2,5,0,1,0.5,1,1
130,2022,"Sunday, Apr 9",L,Nationals,3,4,12,5,-2,0,1,2,-1,Mets,3,12,3,1,0.5,2,1
123,2022,"Monday, Apr 10",W,Nationals,4,4,17,5,-3,1,1,3,-1,Mets,4,17,3,1,0.5,3,-1
210,2022,"Tuesday, Apr 11",W,Nationals,5,8,19,5,-2,0,0,1,1,Braves,5,15,19,3,-1,1,-1
160,2022,"Wednesday, Apr 12",L,Nationals,6,19,21,3,-1.5,0,0,2,1,Braves,6,17,30,3,-1.5,2,-1
190,2022,"Thursday, Apr 13",W,Nationals,7,23,37,4,-2,1,0,1,-1,Braves,7,33,34,3,-1,1,1
120,2022,"Wednesday, Apr 26",L,Nationals,19,62,100,5,-6.5,0,1,5,-1,Marlins,19,59,58,2,-4,2,1
130,2022,"Thursday, Apr 27",L,Nationals,20,64,105,5,-8,0,1,6,-1,Marlins,20,64,60,2,-4.5,3,1
130,2022,"Friday, Apr 28",L,Nationals,21,65,107,5,-8,1,1,7,-1,Marlins,21,66,61,2,-3.5,4,-1
140,2022,"Wednesday, May 10",L,Nationals,31,125,155,5,-10,0,1,1,-1,Mets,31,136,99,1,6,1,1
150,2022,"Thursday, May 11",W,Nationals,32,127,159,5,-11,0,1,2,-1,Mets,32,140,101,1,7,2,1
130,2022,"Friday, May 12",L,Nationals,33,135,162,5,-10,1,1,1,1,Mets,33,143,109,1,6,1,-1
160,2022,"Tuesday, May 16",L,Nationals,37,150,186,5,-11,0,0,1,-1,Marlins,37,141,131,4,-7,1,-1
130,2022,"Wednesday, May 17",L,Nationals,38,152,194,5,-11.5,0,0,2,-1,Marlins,38,149,133,3,-6.5,1,1
160,2022,"Thursday, May 18",W,Nationals,39,153,199,5,-12,0,0,3,-1,Marlins,39,154,134,2,-6,2,1
190,2022,"Saturday, May 20",L,Nationals,40,158,203,5,-12,0,0,1,1,Brewers,40,179,152,1,-4,1,1
205,2022,"Sunday, May 21",L,Nationals,41,158,210,5,-13,0,0,1,-1,Brewers,41,186,152,1,-4,2,1
220,2022,"Monday, May 22",W,Nationals,42,159,215,5,-13.5,1,0,2,-1,Brewers,42,191,153,1,-3,3,1
155,2022,"Tuesday, May 30",L,Nationals,50,201,254,5,-14,0,0,1,1,Mets,50,243,188,1,8.5,3,1
170,2022,"Wednesday, May 31",L,Nationals,51,206,267,5,-15,0,0,1,-1,Mets,51,256,193,1,9.5,4,1
195,2022,"Thursday, Jun 1",L,Nationals,52,206,277,5,-16,1,0,2,-1,Mets,52,266,193,1,10.5,5,1
155,2022,"Wednesday, Jun 7",L,Nationals,57,230,307,5,-16,0,0,3,-1,Marlins,57,225,218,4,-13,1,-1
170,2022,"Thursday, Jun 8",L,Nationals,58,232,319,5,-16.5,0,0,1,-1,Marlins,58,237,220,4,-12.5,1,1
120,2022,"Friday, Jun 9",L,Nationals,59,233,321,5,-16.5,0,0,2,-1,Marlins,59,239,221,4,-11.5,2,1
160,2022,"Saturday, Jun 10",W,Nationals,60,237,328,5,-17,0,1,3,-1,Brewers,60,252,242,1,-0.5,6,-1
134,2022,"Sunday, Jun 11",W,Nationals,61,248,333,5,-17,1,1,1,-1,Brewers,61,257,253,2,-1.5,7,-1
110,2022,"Monday, Jun 12",L,Nationals,62,256,339,5,-16,1,1,2,-1,Brewers,62,263,261,2,-0.5,8,-1
133,2022,"Tuesday, Jun 13",L,Nationals,63,257,343,5,-17,0,1,1,-1,Braves,63,281,253,2,-5.5,11,1
240,2022,"Wednesday, Jun 14",L,Nationals,64,262,352,5,-17.5,0,1,2,-1,Braves,64,290,258,2,-5,12,1
190,2022,"Thursday, Jun 15",L,Nationals,65,266,362,5,-18.5,0,1,3,-1,Braves,65,300,262,2,-5,13,1
170,2022,"Friday, Jun 16",L,Nationals,66,268,370,5,-18.5,0,1,4,-1,Phillies,66,304,275,3,-8.5,1,1
148,2022,"Friday, Jun 17 (1)",L,Nationals,67,269,380,5,-19.5,1,1,5,-1,Phillies,67,314,276,3,-8.5,2,1
-105,2022,"Friday, Jun 17 (2)",L,Nationals,68,272,385,5,-21,0,1,6,-1,Phillies,68,319,279,3,-8,3,-1
140,2022,"Sunday, Jun 18",L,Nationals,69,279,393,5,-21,1,1,7,-1,Phillies,69,327,286,3,-8,4,1
145,2022,"Monday, Jun 19",W,Nationals,70,280,395,5,-22,1,1,8,-1,Phillies,70,329,287,3,-8,5,1
110,2022,"Wednesday, Jun 21",W,Nationals,71,289,398,5,-21,0,0,1,1,Orioles,71,278,317,5,-20.5,1,1
130,2022,"Thursday, Jun 22",L,Nationals,72,292,398,5,-20.5,0,0,2,-1,Orioles,72,278,320,5,-20.5,1,-1
-126,2022,"Saturday, Jul 1",L,Nationals,79,315,424,5,-19,0,1,1,-1,Marlins,79,323,318,4,-12,1,1
-105,2022,"Sunday, Jul 2",L,Nationals,80,318,430,5,-20,1,1,2,-1,Marlins,80,329,321,4,-12,2,1
110,2022,"Monday, Jul 3",L,Nationals,81,321,435,5,-20,1,1,3,-1,Marlins,81,334,324,4,-11,3,1
-115,2022,"Tuesday, Jul 4",L,Nationals,82,325,442,5,-21,1,1,4,-1,Marlins,82,341,328,4,-11,4,-1
140,2022,"Wednesday, Jul 5",L,Nationals,83,327,445,5,-22,0,0,5,-1,Phillies,83,385,340,3,-7.5,1,-1
180,2022,"Thursday, Jul 6",W,Nationals,84,327,456,5,-22,0,0,6,-1,Phillies,84,396,340,3,-7,2,-1
150,2022,"Friday, Jul 7",L,Nationals,85,330,458,5,-22,1,0,1,1,Phillies,85,398,343,3,-8,1,-1
240,2022,"Saturday, Jul 8",L,Nationals,86,333,463,5,-23,0,0,1,-1,Braves,86,396,336,2,-3.5,1,-1
195,2022,"Sunday, Jul 9",L,Nationals,87,335,475,5,-23,1,0,2,-1,Braves,87,408,338,2,-2.5,1,1
180,2022,"Monday, Jul 10",L,Nationals,88,338,479,5,-24,1,0,3,-1,Braves,88,412,341,2,-2.5,2,1
190,2022,"Friday, Jul 14",L,Nationals,91,346,491,5,-25.5,0,1,6,-1,Braves,91,424,356,2,-2.5,1,-1
140,2022,"Saturday, Jul 15",L,Nationals,92,350,496,5,-26.5,0,1,7,-1,Braves,92,429,360,2,-2.5,1,1
210,2022,"Sunday, Jul 16",L,Nationals,93,354,504,5,-27,1,1,8,-1,Braves,93,437,364,2,-2,2,1
240,2022,"Monday, Jul 17",W,Nationals,94,357,510,5,-28.5,1,1,9,-1,Braves,94,443,367,2,-2.5,3,1
210,2022,"Tuesday, Aug 1",L,Nationals,104,393,561,5,-30,0,1,1,-1,Mets,104,475,376,1,3,6,1
280,2022,"Wednesday, Aug 2",W,Nationals,105,396,568,5,-31,0,1,2,-1,Mets,105,482,379,1,3.5,7,1
250,2022,"Thursday, Aug 3",L,Nationals,106,401,569,5,-30,1,1,1,1,Mets,106,483,384,1,2.5,1,-1
200,2022,"Friday, Aug 4",L,Nationals,107,406,578,5,-31,0,0,1,-1,Phillies,107,480,432,3,-10,1,1
160,2022,"Saturday, Aug 5",L,Nationals,108,410,583,5,-32,0,0,2,-1,Phillies,108,485,436,3,-10,2,-1
235,2022,"Sunday, Aug 6",L,Nationals,109,412,590,5,-32,0,0,3,-1,Phillies,109,492,438,3,-9,3,1
255,2022,"Monday, Aug 7",L,Nationals,110,417,601,5,-33.5,1,0,4,-1,Phillies,110,503,443,3,-9.5,4,1
225,2022,"Saturday, Sep 2",L,Nationals,132,492,706,5,-38.5,0,0,2,-1,Mets,132,617,487,1,3,2,1
320,2022,"Sunday, Sep 3",W,Nationals,133,495,713,5,-39.5,0,0,1,-1,Mets,133,624,490,1,3,3,-1
255,2022,"Monday, Sep 4",W,Nationals,134,502,714,5,-38.5,1,0,1,1,Mets,134,625,497,1,2,1,-1
165,2022,"Saturday, Sep 9",L,Nationals,139,532,731,5,-38,0,0,1,1,Phillies,139,641,575,3,-11.5,1,-1
195,2022,"Sunday, Sep 10",L,Nationals,140,535,736,5,-38.5,0,0,1,-1,Phillies,140,646,578,3,-11,1,1
240,2022,"Monday, Sep 11",L,Nationals,141,540,744,5,-39,1,0,2,-1,Phillies,141,654,583,3,-10.5,2,1
140,2022,"Wednesday, Sep 13",L,Nationals,142,545,751,5,-40,0,1,3,-1,Orioles,142,583,582,4,-11.5,2,-1
125,2022,"Thursday, Sep 14",L,Nationals,143,548,755,5,-39.5,0,1,4,-1,Orioles,143,587,585,4,-11.5,1,1
115,2022,"Saturday, Sep 16",W,Nationals,144,550,761,5,-39.5,0,1,5,-1,Marlins,144,513,618,4,-30.5,1,-1
110,2022,"Sunday, Sep 17",W,Nationals,145,555,765,5,-40,1,1,1,1,Marlins,145,517,623,4,-31.5,1,-1
155,2022,"Monday, Sep 18",L,Nationals,146,560,768,5,-40,1,1,2,1,Marlins,146,520,628,4,-32.5,2,-1
300,2022,"Tuesday, Sep 19",L,Nationals,147,561,771,5,-41,0,0,1,-1,Braves,147,721,553,2,-1,3,1
265,2022,"Wednesday, Sep 20",L,Nationals,148,563,776,5,-42,0,0,2,-1,Braves,148,726,555,2,-1,4,1
210,2022,"Thursday, Sep 21",W,Nationals,149,565,779,5,-43,1,0,3,-1,Braves,149,729,557,2,-1,5,1
127,2022,"Saturday, Sep 23",L,Nationals,150,568,781,5,-42,0,0,1,1,Marlins,150,537,638,4,-33.5,2,-1
180,2022,"Sunday, Sep 24",L,Nationals,151,570,786,5,-43,0,0,1,-1,Marlins,151,542,640,4,-33.5,1,1
144,2022,"Monday, Sep 25",W,Nationals,152,571,790,5,-43,1,0,2,-1,Marlins,152,546,641,4,-32.5,2,1
210,2022,"Tuesday, Sep 26",L,Nationals,153,577,791,5,-43,0,1,1,-1,Braves,153,746,580,2,-1.5,2,1
180,2022,"Wednesday, Sep 27",L,Nationals,154,577,799,5,-43.5,0,1,1,-1,Braves,154,754,580,2,-1,3,1
170,2022,"Thursday, Sep 28",W,Nationals,155,579,807,5,-43.5,0,1,2,-1,Braves,155,762,582,1,0,4,1
197,2022,"Saturday, Sep 30",L,Nationals,156,582,809,5,-43.5,1,1,1,-1,Phillies,156,717,655,3,-14.5,5,-1
170,2022,"Saturday, Oct 1 (1)",W,Nationals,157,583,814,5,-43.5,1,1,1,-1,Phillies,157,722,656,3,-13.5,1,1
170,2022,"Saturday, Oct 1 (2)",L,Nationals,158,596,818,5,-44,0,1,1,-1,Phillies,158,726,669,3,-14,1,-1
225,2022,"Monday, Oct 2",L,Nationals,159,598,826,5,-44,1,1,1,-1,Phillies,159,734,671,3,-14,1,1
240,2022,"Tuesday, Oct 4 (1)",L,Nationals,160,599,834,5,-45,0,0,2,-1,Mets,160,751,601,2,-2,3,-1
220,2022,"Tuesday, Oct 4 (2)",L,Nationals,161,601,838,5,-46,0,0,3,-1,Mets,161,755,603,2,-1,1,1
135,2022,"Thursday, Oct 5",L,Nationals,162,601,846,5,-46,1,0,4,-1,Mets,162,763,603,2,-1,0,0
142,2022,"Tuesday, Apr 11",W,Orioles,4,4,15,5,-2,1,1,3,-1,Brewers,4,9,18,4,-1.5,1,1
149,2022,"Wednesday, Apr 12",L,Orioles,5,6,15,4,-3,0,1,1,1,Brewers,5,9,20,5,-1.5,1,-1
155,2022,"Thursday, Apr 13",L,Orioles,6,10,20,5,-3,0,1,1,-1,Brewers,6,14,24,3,-1,1,1
130,2022,"Tuesday, May 2",L,Orioles,23,71,93,5,-9,0,1,2,1,Twins,23,94,71,1,-3.5,2,1
140,2022,"Wednesday, May 3",L,Orioles,24,72,95,5,-10,0,1,1,-1,Twins,24,96,72,1,-4,3,1
123,2022,"Thursday, May 4",W,Orioles,25,74,102,5,-9,0,1,2,-1,Twins,25,103,74,1,-3.5,4,1
135,2022,"Friday, May 5",W,Orioles,26,83,106,5,-8.5,0,1,1,1,Twins,26,107,83,1,-2.5,1,-1
-130,2022,"Wednesday, Jun 21",L,Orioles,69,278,317,5,-20.5,0,1,1,1,Nationals,69,289,398,5,-21,1,1
-155,2022,"Thursday, Jun 22",W,Orioles,70,278,320,5,-20.5,0,1,1,-1,Nationals,70,292,398,5,-20.5,2,-1
190,2022,"Saturday, Jul 1",L,Orioles,78,314,340,5,-21.5,0,0,2,-1,Twins,78,356,312,1,-1.5,2,-1
205,2022,"Sunday, Jul 2",L,Orioles,79,316,343,5,-23,1,0,3,-1,Twins,79,359,314,1,-3,1,1
130,2022,"Monday, Jul 3",W,Orioles,80,319,347,5,-22,1,0,4,-1,Twins,80,363,317,1,-2,2,1
-155,2022,"Wednesday, Sep 13",W,Orioles,141,583,582,4,-11.5,0,0,2,-1,Nationals,141,545,751,5,-40,3,-1
-150,2022,"Thursday, Sep 14",W,Orioles,142,587,585,4,-11.5,0,0,1,1,Nationals,142,548,755,5,-39.5,4,-1
-145,2022,"Tuesday, Apr 11",W,Phillies,4,14,11,2,-0.5,0,1,1,-1,Mets,4,19,7,1,0.5,1,-1
-140,2022,"Wednesday, Apr 12",L,Phillies,5,19,15,1,0.5,0,1,1,1,Mets,5,23,12,2,-0.5,2,-1
100,2022,"Thursday, Apr 13",L,Phillies,6,19,17,2,-0.5,1,1,1,-1,Mets,6,25,12,1,0.5,1,1
105,2022,"Friday, Apr 14",L,Phillies,7,25,26,2,-1.5,0,0,2,-1,Marlins,7,14,20,5,-2.5,3,-1
117,2022,"Saturday, Apr 15",L,Phillies,8,28,30,2,-2,0,0,3,-1,Marlins,8,18,23,3,-2.5,1,1
124,2022,"Sunday, Apr 16",W,Phillies,9,29,37,5,-3,0,0,4,-1,Marlins,9,25,24,2,-2.5,2,-1
-141,2022,"Monday, Apr 17",L,Phillies,10,39,40,3,-2,1,0,1,1,Marlins,10,28,34,4,-2.5,1,-1
-118,2022,"Saturday, Apr 22",W,Phillies,14,57,67,4,-4,0,1,1,1,Brewers,14,46,49,2,-1,4,1
-145,2022,"Sunday, Apr 23",L,Phillies,15,61,69,3,-4.5,1,1,2,1,Brewers,15,48,53,2,-1,1,-1
-135,2022,"Monday, Apr 24",L,Phillies,16,64,74,4,-4.5,0,1,1,-1,Brewers,16,53,56,2,0,1,1
105,2022,"Saturday, Apr 29",L,Phillies,21,96,84,3,-4,0,0,4,1,Mets,21,94,60,1,3.5,1,-1
117,2022,"Sunday, Apr 30",W,Phillies,22,96,87,3,-5,0,0,1,-1,Mets,22,97,60,1,3,1,-1
165,2022,"Monday, May 1",L,Phillies,23,100,88,3,-4,0,0,1,1,Mets,23,98,64,1,2,1,-1
-154,2022,"Friday, May 5",L,Phillies,26,111,106,3,-6,0,1,3,-1,Mets,26,120,88,1,4.5,1,-1
135,2022,"Sunday, May 8 (1)",W,Phillies,27,118,114,4,-7,1,1,4,-1,Mets,27,128,95,1,5.5,1,1
130,2022,"Sunday, May 8 (2)",L,Phillies,28,121,116,4,-7,1,1,1,1,Mets,28,130,98,1,6,1,-1
-122,2022,"Tuesday, May 23",W,Phillies,42,184,173,2,-8,0,0,1,1,Braves,42,167,178,2,-8,1,-1
160,2022,"Wednesday, May 24",L,Phillies,43,191,176,2,-8,0,0,2,1,Braves,43,170,185,3,-9,2,-1
132,2022,"Thursday, May 25",L,Phillies,44,196,182,2,-8,0,0,1,-1,Braves,44,176,190,2,-8,1,1
-120,2022,"Friday, May 26",W,Phillies,45,200,190,3,-8,0,0,2,-1,Braves,45,184,194,2,-7,2,1
161,2022,"Saturday, May 27",L,Phillies,46,204,191,2,-7.5,0,0,1,-1,Mets,46,222,176,1,7,2,-1
-101,2022,"Sunday, May 28",L,Phillies,47,210,199,3,-8.5,0,0,1,-1,Mets,47,230,182,1,7.5,1,1
-123,2022,"Monday, May 29",L,Phillies,48,212,207,3,-9.5,0,0,2,-1,Mets,48,238,184,1,8.5,2,1
-105,2022,"Wednesday, Jun 7",W,Phillies,55,256,238,3,-11,0,0,4,1,Brewers,55,247,221,1,-0.5,3,-1
-123,2022,"Thursday, Jun 8",W,Phillies,56,259,240,3,-10.5,0,0,5,-1,Brewers,56,249,224,1,-0.5,4,-1
145,2022,"Friday, Jun 9",W,Phillies,57,269,240,3,-9.5,1,0,6,1,Brewers,57,249,234,1,-0.5,5,-1
-125,2022,"Tuesday, Jun 13",W,Phillies,61,289,261,3,-9,0,1,1,-1,Marlins,61,262,239,4,-11,1,-1
-154,2022,"Wednesday, Jun 14",L,Phillies,62,292,263,3,-8.5,0,1,1,1,Marlins,62,264,242,4,-11.5,2,-1
-175,2022,"Thursday, Jun 15",W,Phillies,63,301,274,3,-9.5,1,1,1,-1,Marlins,63,275,251,4,-11.5,1,1
-210,2022,"Friday, Jun 16",W,Phillies,64,304,275,3,-8.5,0,0,1,1,Nationals,64,268,370,5,-18.5,4,-1
-180,2022,"Friday, Jun 17 (1)",W,Phillies,65,314,276,3,-8.5,1,0,2,1,Nationals,65,269,380,5,-19.5,5,-1
-115,2022,"Friday, Jun 17 (2)",W,Phillies,66,319,279,3,-8,0,0,3,-1,Nationals,66,272,385,5,-21,6,-1
-165,2022,"Sunday, Jun 18",W,Phillies,67,327,286,3,-8,1,0,4,1,Nationals,67,279,393,5,-21,7,-1
-167,2022,"Monday, Jun 19",L,Phillies,68,329,287,3,-8,1,0,5,1,Nationals,68,280,395,5,-22,8,-1
-120,2022,"Wednesday, Jun 28",L,Phillies,75,352,317,3,-8,0,1,2,1,Braves,75,349,305,2,-5,1,-1
118,2022,"Thursday, Jun 29",L,Phillies,76,355,322,3,-8,0,1,1,-1,Braves,76,354,308,2,-4,1,1
-150,2022,"Friday, Jun 30",W,Phillies,77,356,326,3,-8,0,1,2,-1,Braves,77,358,309,2,-3,2,1
-168,2022,"Wednesday, Jul 5",W,Phillies,81,385,340,3,-7.5,0,1,1,-1,Nationals,81,327,445,5,-22,5,-1
-220,2022,"Thursday, Jul 6",L,Phillies,82,396,340,3,-7,0,1,2,-1,Nationals,82,327,456,5,-22,6,-1
-180,2022,"Friday, Jul 7",W,Phillies,83,398,343,3,-8,1,1,1,-1,Nationals,83,330,458,5,-22,1,1
150,2022,"Saturday, Jul 15",W,Phillies,90,415,368,3,-9,0,0,4,-1,Marlins,90,370,367,4,-12,2,1
-105,2022,"Sunday, Jul 16",W,Phillies,91,417,369,3,-9,1,0,1,1,Marlins,91,371,369,4,-12.5,1,-1
-135,2022,"Monday, Jul 17",W,Phillies,92,427,369,3,-9.5,1,0,2,1,Marlins,92,371,379,4,-14,2,-1
146,2022,"Tuesday, Jul 25",W,Phillies,96,438,394,3,-9.5,0,1,3,-1,Braves,96,462,386,2,-1.5,1,-1
105,2022,"Wednesday, Jul 26",L,Phillies,97,444,398,3,-9,0,1,1,1,Braves,97,466,392,2,-2,2,-1
125,2022,"Thursday, Jul 27",W,Phillies,98,447,404,3,-10,1,1,1,-1,Braves,98,472,395,2,-2,1,-1
210,2022,"Wednesday, Aug 2",L,Phillies,103,476,418,3,-9.5,0,0,5,1,Braves,103,486,406,2,-3,3,-1
113,2022,"Thursday, Aug 3",W,Phillies,104,477,431,3,-10,1,0,1,-1,Braves,104,499,407,2,-2.5,4,-1
-220,2022,"Friday, Aug 4",W,Phillies,105,480,432,3,-10,0,1,1,1,Nationals,105,406,578,5,-31,1,-1
-195,2022,"Saturday, Aug 5",W,Phillies,106,485,436,3,-10,0,1,2,-1,Nationals,106,410,583,5,-32,2,-1
-275,2022,"Sunday, Aug 6",W,Phillies,107,492,438,3,-9,0,1,3,1,Nationals,107,412,590,5,-32,3,-1
-320,2022,"Monday, Aug 7",W,Phillies,108,503,443,3,-9.5,1,1,4,1,Nationals,108,417,601,5,-33.5,4,-1
-233,2022,"Wednesday, Aug 9",W,Phillies,109,516,444,3,-9.5,0,1,5,1,Marlins,109,415,451,4,-20.5,1,1
-125,2022,"Thursday, Aug 10",W,Phillies,110,520,445,3,-10,0,1,6,1,Marlins,110,416,455,4,-22,1,-1
-155,2022,"Friday, Aug 11",L,Phillies,111,524,448,3,-10,1,1,7,1,Marlins,111,419,459,4,-23,2,-1
200,2022,"Saturday, Aug 12",W,Phillies,112,524,451,3,-10.5,0,0,1,-1,Mets,112,544,416,1,7,6,1
195,2022,"Sunday, Aug 13",L,Phillies,113,526,452,3,-9.5,0,0,1,1,Mets,113,545,418,1,6,1,-1
120,2022,"Monday, Aug 14",L,Phillies,114,526,453,3,-10.5,1,0,1,-1,Mets,114,546,418,1,5.5,1,-1
-120,2022,"Saturday, Aug 19",L,Phillies,118,541,467,3,-10.5,0,1,1,-1,Mets,118,564,446,1,3.5,1,-1
-154,2022,"Saturday, Aug 20 (1)",L,Phillies,119,543,474,3,-11,1,1,2,-1,Mets,119,571,448,1,3.5,1,-1
